,name,link,company,salary_min,salary_max,currency,source
49,Финансовый аналитик,https://hh.ru/vacancy/39078880?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО ALG Company,,,,hh.ru
50,Маркетолог-аналитик/бизнес-аналитик,https://hh.ru/vacancy/39101953?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Компания Тез Тур,NaN,NaN,NaN,hh.ru
51,Аналитик бизнес-процессов,https://hh.ru/vacancy/38659359?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Carcade Leasing,110000,NaN,руб.,hh.ru
52,Финансовый аналитик,https://hh.ru/vacancy/38668250?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ЮниСервис Капитал,,,,hh.ru
53,Аналитик (медиамониторинг),https://hh.ru/vacancy/39135665?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ЗАО Инфорус,,,,hh.ru
54,Аналитик BI,https://hh.ru/vacancy/38783423?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ГК «Авилон»,120000,180000,руб.,hh.ru
55,Аналитик BI,https://hh.ru/vacancy/37388360?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ivi,120000,NaN,руб.,hh.ru
56,Аналитик по продажам,https://hh.ru/vacancy/39076060?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Danone в России,NaN,NaN,NaN,hh.ru
57,Маркетолог – аналитик / Аналитик в отдел маркетинга,https://hh.ru/vacancy/38535160?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Качественные Смеси,,,,hh.ru
58,Аналитик коммерческой службы,https://hh.ru/vacancy/39103325?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Петромастер,60000,NaN,руб.,hh.ru
